date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-12-24,3288.073,3390.444,5500.537,6575.2396,2020.3316,1781.1212,1535.2023,1532.0222
2014-12-25,3385.091,3531.683,5595.6479,6739.5415,2040.1307,1814.6389,1552.6267,1553.5366
2014-12-26,3466.059,3646.773,5638.7857,6861.4959,2038.083,1838.9067,1553.3775,1554.3942
2014-12-29,3477.888,3693.404,5576.6103,6844.0162,1990.1619,1830.3381,1518.7831,1526.1795
2014-12-30,3486.005,3721.874,5483.4434,6717.5038,1951.2812,1796.705,1497.8729,1499.1295
2014-12-31,3584.222,3826.953,5541.8365,6809.067,1967.5987,1818.2321,1509.0574,1509.0716
2015-01-05,3687.294,3963.141,5633.4766,7010.1642,1966.0697,1861.1528,1514.9546,1522.3189
2015-01-06,3679.395,3928.295,5725.9233,7025.9243,2013.4845,1868.6138,1545.1427,1547.605
2015-01-07,3649.42,3918.606,5714.0576,7038.8944,2011.7499,1870.2504,1536.6814,1544.5524
2015-01-08,3565.479,3800.117,5696.0812,6934.7062,2018.3172,1839.4697,1539.5544,1547.1527
2015-01-09,3558.479,3808.843,5670.0411,6867.6179,2010.011,1823.243,1532.0053,1535.5644
2015-01-12,3544.132,3764.274,5621.8524,6711.69,1994.6336,1776.7622,1510.987,1503.2662
2015-01-13,3557.993,3762.915,5716.7554,6779.6476,2029.0832,1797.41,1535.5015,1525.509
2015-01-14,3556.766,3752.299,5705.7705,6720.3438,2018.1324,1790.517,1530.1095,1518.7184
2015-01-15,3647.564,3903.367,5744.0099,6859.2213,2022.4505,1821.3065,1538.4915,1530.6034
2015-01-16,3669.964,3930.23,5837.3142,6903.0228,2054.3749,1832.8717,1561.7612,1548.7162
2015-01-19,3402.648,3571.378,5644.0219,6462.3031,2024.838,1737.0362,1542.3115,1518.112
2015-01-20,3477.184,3629.211,5884.5208,6687.1564,2103.5287,1793.9315,1604.2912,1572.1455
2015-01-21,3609.877,3810.78,6020.5854,6913.2666,2141.8259,1843.5253,1634.3631,1603.2144
2015-01-22,3622.783,3805.566,6100.694,7002.7045,2175.2174,1868.6572,1663.7827,1627.4349
2015-01-23,3622.452,3825.268,6034.982,6955.2971,2151.1761,1865.8506,1646.1737,1610.3585
2015-01-26,3642.551,3831.377,6165.2101,7130.0422,2197.5937,1911.3685,1678.1192,1645.8062
2015-01-27,3594.132,3781.389,6172.5698,7146.5517,2215.1436,1924.5133,1689.9786,1657.5536
